precinct_id,year,perc_lib,proposed_turbine,log_pop,log_pop_denc,log_median_inc,log_home_val,avg_home_val,unemploy_rate,p_uni_degree,p_immigrant,p_housing_own
58.013.58.19.,2007,0.357142857,0,6.025618525,5.609958476,9.746432693,12.10188819,180211.8153,5.156070101,0.003793337,0.055824582,0.706465019
58.013.58.19.,2011,0.3,0,6.132970333,5.717311769,10.31689747,12.21391594,201574.8275,0.00715061,0.169047021,0.059883295,0.597779386
58.014.58.21.,2003,0.33854,0,6.078612712,5.50233484,9.745552371,11.76804665,129061.8017,17.35753706,6.94801e-4,0.035941928,0.822763747
58.014.58.21.,2007,0.35483871,0,4.260963193,3.859950174,10.19172243,12.16648487,192237.1156,7.415169095,0.144370789,0.115208748,0.952518105
58.014.58.21.,2011,0.289855072,0,4.202499767,3.801485172,10.39702115,12.2278921,204411.8471,0.604701423,0.116212872,0.084554918,0.911374421
58.015.58.20.,2003,0.33854,0,5.246268407,4.669990535,9.717652749,11.86429144,142100.7281,10.92970418,0.02177757,0.082941261,0.703204835
58.015.58.20.,2007,0.404040404,0,4.071948831,4.604640801,9.852787738,12.25126869,209246.5903,5.448190386,0.017472746,0.065758284,0.74794428
58.015.58.20.,2011,0.288,0,4.173871653,4.706561597,10.15025139,12.17697405,194264.1393,3.465076552,0.157318517,0.070778001,0.686505612
58.016.58.17.,2003,0.30864,0,7.066481758,2.956737639,9.981142153,11.86300254,141917.6932,9.325233337,0.090759152,0.095015592,0.867850331
58.016.58.17.,2007,0.376923077,0,7.149413418,3.108265805,10.11377783,12.28779918,217031.8028,5.691408119,0.144867718,0.119334128,0.933678695
58.016.58.17.,2011,0.302564103,0,7.163692951,3.312442192,10.29254065,12.4533308,256101.9277,3.706525615,0.16308936,0.097328618,0.950760448
58.017.58.9.,2003,0.35652,0,4.681597824,4.199991752,9.813461143,11.66518341,116446.0567,10.90617091,0.071573462,0.082060312,0.711198377
58.017.58.9.,2007,0.369863014,0,4.450477451,4.957196795,10.08051554,12.17977242,194808.5233,4.899935442,0.168940165,0.054865713,0.652221204
58.017.58.9.,2011,0.3,0,4.527691825,3.821212896,10.53496837,12.50814218,270531.0553,22.44173275,0.071912391,0.053164533,0.667944712
58.018s.58.702.,2003,0.35652,0,0.845289361,0.363683289,9.815999567,11.67055015,117072.6723,10.29284548,0.062638363,0.092194527,0.781631022
58.018s.58.702.,2007,0.435897436,0,0.213345588,4.230825725,10.15193479,12.05956627,172744.0449,12.87911147,0.272320354,0.094896549,0.71176743
58.018s.58.702.,2011,0.421875,0,0.340710936,4.35819324,10.67498423,12.26097751,211288.0219,0,0.107354702,0.086983265,0.978381425
58.019.58.11.,2003,0.46108,0,5.866056419,6.412331802,9.766936417,11.59360612,108402.4665,8.932323003,0.092375515,0.055825938,0.527724987
58.019.58.11.,2007,0.494505495,0,5.476527296,6.801216426,9.784046478,11.91270164,149149.0826,10.27351147,0.13592748,0.066552614,0.531745099
58.019.58.11.,2011,0.377358491,0,5.492072842,6.80852775,10.04375287,12.19003639,196818.3291,17.2528247,0.131166578,0.030812226,0.634068098
58.021.58.10.,2003,0.46108,0,6.197749495,6.744024879,9.758136306,11.63961669,113506.6481,8.709654251,0.015597896,0.042190552,0.566230978
58.021.58.10.,2007,0.341269841,0,5.410818048,6.093878595,9.753654959,11.90146282,147482.2068,5.833884578,0.117154127,0.059926733,0.563056248
58.021.58.10.,2011,0.271929825,0,5.414746265,6.097808724,9.892058082,12.15531311,190101.4413,20.98729768,0.114717655,0.020478472,0.63496857
58.022s.58.703.,2003,0.45817,0,3.114500797,3.769856065,9.757422607,11.64125959,113693.2822,8.599999259,0.01324507,0.041666689,0.566666746
58.022s.58.703.,2007,0.375,0,-0.396966265,3.366285977,9.965993365,12.18676163,196174.8498,8.599967601,0.170731378,0.050000194,0.550002422
58.022s.58.703.,2011,0.34375,0,-0.406218816,3.357033427,9.668084975,12.38206109,238484.8564,21.09994141,0.228570794,0,0.3953504
58.023.58.14.,2003,0.3785,0,6.425814099,2.497676663,9.79642858,11.83509817,138012.3109,6.477676761,0.074886511,0.093247266,0.940792167
58.023.58.14.,2007,0.298701299,0,6.920000911,2.919902473,9.972479354,12.08159438,176591.4911,8.431088252,0.121662873,0.074314926,0.827636043
58.023.58.14.,2011,0.186666667,0,6.905604592,2.905506269,10.20796858,12.23717615,206318.4545,8.11555948,0.099000308,0.012020623,0.783438042
58.024.58.23.,2003,0.51711,0,6.605378725,3.233232388,10.14275512,11.94914052,154684.141,6.695851073,0.20204325,0.107366041,0.905166402
58.024.58.23.,2007,0.388185654,0,6.440493999,3.216595902,10.25679244,12.28488829,216400.9665,3.532588675,0.193670399,0.060434149,0.937892385
58.024.58.23.,2011,0.356846473,0,6.502562242,3.278664122,10.55604238,12.46374286,258782.4073,1.038568087,0.259565428,0.05864657,0.936192739
58.025.58.22.,2003,0.55856,0,6.609751641,3.385900776,10.1172873,11.99585001,162080.7596,7.2393183,0.222106928,0.10361528,0.916877065
58.025.58.22.,2007,0.362318841,0,6.441136902,3.174735751,10.34241658,12.40745324,244618.0367,3.80078745,0.172474273,0.099752959,0.930305051
58.025.58.22.,2011,0.315533981,0,6.585078011,3.318677065,10.44181031,12.53214799,277103.9512,5.364056607,0.219838773,0.021129125,0.962161811
58.026.58.16.,2003,0.46078,0,5.790705862,1.876227508,9.87717011,11.72869324,124081.4194,8.395804486,0.098226663,0.096874973,0.772465575
58.026.58.16.,2007,0.421686747,0,6.259862561,4.010193619,10.09640463,12.05477244,171917.9211,12.09220749,0.259614075,0.098355566,0.725371299
58.026.58.16.,2011,0.352941176,0,6.371338778,3.303816549,10.5200776,12.31809877,223708.416,0.706541247,0.111834105,0.087355054,0.956155745
58.027.58.15.,2003,0.42326,0,6.320619338,2.695281342,9.842333552,11.881986,144637.5163,7.383548719,0.124579633,0.093767165,0.809088179
58.027.58.15.,2007,0.298507463,0,7.059990427,3.33211293,9.94672767,12.07579614,175570.5337,5.362554945,0.143831255,0.085565157,0.719525601
58.027.58.15.,2011,0.321212121,0,7.044088021,3.369650957,9.982893165,12.36893909,235375.9002,14.53803305,0.139306358,0.0410572,0.657898604
58.028.58.24.,2003,0.51711,0,6.22185463,2.849708293,10.13370231,11.83095884,137442.2136,2.032274053,0.095312881,0.108428888,0.915367401
58.028.58.24.,2007,0.445255474,0,5.981613176,3.039446128,10.22978979,12.23531508,205934.8387,4.567035121,0.154111463,0.065830669,0.950523174
58.028.58.24.,2011,0.292682927,0,6.032404819,3.090237973,10.41073946,12.40160379,243191.3318,1.469225805,0.092335565,0.058160861,0.940875127
58.029.58.18.,2003,0.34555,0,6.375166766,2.276386446,9.785623385,11.7968789,132837.107,7.493511398,0.171871847,0.168403462,0.965819387
58.029.58.18.,2007,0.418719212,0,6.325450461,2.308865738,10.08502618,12.24439502,207813.2299,11.81481404,0.09231974,0.160099941,0.955843156
58.029.58.18.,2011,0.248730964,0,6.359893322,2.343308739,10.3460738,12.45043751,255362.0206,8.123111366,0.13515277,0.154256956,0.959096902
58.030.58.139.,2003,0.40264,0,6.491882616,2.515851317,9.91394465,11.80696027,134183.061,7.08634886,0.118659864,0.102396106,0.877377319
58.030.58.139.,2007,0.408256881,0,6.374004245,2.563996779,10.09445281,12.28499374,216423.7872,4.623820335,0.186268505,0.132698467,0.903196953
58.030.58.139.,2011,0.430379747,0,6.384224943,3.000858294,10.25650389,12.51027749,271109.3414,2.73e-5,0.205781631,0.117847568,0.952018272
58.031.58.25.,2003,0.45833,0,6.793986558,3.709534426,10.06158304,11.61696237,110964.1408,9.551594965,0.04526594,0.047376097,0.905962217
58.031.58.25.,2007,0.403100775,0,6.90960715,3.832920356,10.11574982,12.13785441,186811.3205,7.743523764,0.075047669,0.034367739,0.959823872
58.031.58.25.,2011,0.339055794,0,6.857596457,3.780909662,10.38562658,12.40691874,244487.3223,0.265467812,0.071400033,0.027779477,0.9504814
58.032.58.26.,2003,0.52318,0,6.317649632,3.24544565,10.15138805,11.92479978,150964.468,1.716498126,0.103854835,0.101558863,0.901746974
58.032.58.26.,2007,0.427906977,0,6.613615074,3.661427382,10.14695651,12.28949618,217400.4184,1.041199733,0.121987885,0.038972656,0.871168354
58.032.58.26.,2011,0.376963351,0,6.634890987,3.682703295,10.52312707,12.42705476,249460.2235,7.040769082,0.222967847,0.05941841,0.850696379
58.033.58.27.,2003,0.57466,0,6.404269181,3.466112754,10.09376192,12.03260164,168148.306,1.713723636,0.126745825,0.088620363,0.956531224
58.033.58.27.,2007,0.405882353,0,6.767032359,3.59618695,10.25761898,12.20688451,200162.4391,4.267344824,0.201223581,0.095129621,0.944985508
